a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",room air,freezer air,standard_explicit,-16,23,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p005-room_air-vs-freezer_air,temp-v1_2-p005-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,21,-18,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",cold,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 5 degrees Celsius feels",freezer air,swimming-pool water,standard_explicit,23,-22,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p005-freezer_air-vs-swimming_pool_water,temp-v1_2-p005-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,27,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 5 degrees Celsius feels",freezer air,bath water,standard_explicit,23,-33,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p005-freezer_air-vs-bath_water,temp-v1_2-p005-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,38,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 5 degrees Celsius feels",freezer air,freshly served tea,standard_explicit,23,-75,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p005-freezer_air-vs-freshly_served_tea,temp-v1_2-p005-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,80,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 5 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 5 degrees Celsius feels",heated oven air,freezer air,standard_explicit,-175,23,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p005-heated_oven_air-vs-freezer_air,temp-v1_2-p005-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,180,-18,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cold,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 5 degrees Celsius feels",cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",swimming-pool water,room air,standard_explicit,-22,-16,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p005-swimming_pool_water-vs-room_air,temp-v1_2-p005-room_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,27,21,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 5 degrees Celsius feels",room air,bath water,standard_explicit,-16,-33,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p005-room_air-vs-bath_water,temp-v1_2-p005-room_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,21,38,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 5 degrees Celsius feels",cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",freshly served tea,room air,standard_explicit,-75,-16,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p005-freshly_served_tea-vs-room_air,temp-v1_2-p005-room_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,80,21,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 5 degrees Celsius feels",cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 5 degrees Celsius feels",room air,heated oven air,standard_explicit,-16,-175,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p005-room_air-vs-heated_oven_air,temp-v1_2-p005-room_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,21,180,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",freezer air,room air,standard_explicit,33,-6,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p015-freezer_air-vs-room_air,temp-v1_2-p015-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,21,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",swimming-pool water,freezer air,standard_explicit,-12,33,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p015-swimming_pool_water-vs-freezer_air,temp-v1_2-p015-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,27,-18,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 15 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",bath water,freezer air,standard_explicit,-23,33,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p015-bath_water-vs-freezer_air,temp-v1_2-p015-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,38,-18,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 15 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",freshly served tea,freezer air,standard_explicit,-65,33,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p015-freshly_served_tea-vs-freezer_air,temp-v1_2-p015-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,80,-18,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 15 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 15 degrees Celsius feels",heated oven air,freezer air,standard_explicit,-165,33,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p015-heated_oven_air-vs-freezer_air,temp-v1_2-p015-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,180,-18,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 15 degrees Celsius feels",room air,bath water,standard_explicit,-6,-23,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p015-room_air-vs-bath_water,temp-v1_2-p015-room_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,21,38,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 15 degrees Celsius feels",cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",freshly served tea,room air,standard_explicit,-65,-6,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p015-freshly_served_tea-vs-room_air,temp-v1_2-p015-room_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,80,21,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 15 degrees Celsius feels",cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 15 degrees Celsius feels",room air,heated oven air,standard_explicit,-6,-165,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p015-room_air-vs-heated_oven_air,temp-v1_2-p015-room_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,21,180,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cold,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 15 degrees Celsius feels",cool,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",bath water,swimming-pool water,standard_explicit,-23,-12,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p015-bath_water-vs-swimming_pool_water,temp-v1_2-p015-swimming_pool_water-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,38,27,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 15 degrees Celsius feels",swimming-pool water,freshly served tea,standard_explicit,-12,-65,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p015-swimming_pool_water-vs-freshly_served_tea,temp-v1_2-p015-swimming_pool_water-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,27,80,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 15 degrees Celsius feels",cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 15 degrees Celsius feels",swimming-pool water,heated oven air,standard_explicit,-12,-165,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,temp-v1_2-p015-swimming_pool_water-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,27,180,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
warm,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 25 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 25 degrees Celsius feels",room air,freezer air,standard_explicit,4,43,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p025-room_air-vs-freezer_air,temp-v1_2-p025-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,21,-18,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cool,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 25 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 25 degrees Celsius feels",bath water,freezer air,standard_explicit,-13,43,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p025-bath_water-vs-freezer_air,temp-v1_2-p025-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,38,-18,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 25 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 25 degrees Celsius feels",freshly served tea,freezer air,standard_explicit,-55,43,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p025-freshly_served_tea-vs-freezer_air,temp-v1_2-p025-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,80,-18,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 25 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 25 degrees Celsius feels",heated oven air,freezer air,standard_explicit,-155,43,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p025-heated_oven_air-vs-freezer_air,temp-v1_2-p025-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,180,-18,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cool,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 25 degrees Celsius feels",warm,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 25 degrees Celsius feels",bath water,room air,standard_explicit,-13,4,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p025-bath_water-vs-room_air,temp-v1_2-p025-room_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,38,21,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 25 degrees Celsius feels",warm,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 25 degrees Celsius feels",freshly served tea,room air,standard_explicit,-55,4,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p025-freshly_served_tea-vs-room_air,temp-v1_2-p025-room_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,80,21,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 25 degrees Celsius feels",warm,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 25 degrees Celsius feels",heated oven air,room air,standard_explicit,-155,4,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p025-heated_oven_air-vs-room_air,temp-v1_2-p025-room_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,180,21,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 25 degrees Celsius feels",cool,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 25 degrees Celsius feels",freshly served tea,bath water,standard_explicit,-55,-13,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p025-freshly_served_tea-vs-bath_water,temp-v1_2-p025-bath_water-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,80,38,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cool,"The normal temperature for bath water is 38 degrees Celsius. Compared only to that 38-degree baseline for bath water, a temperature of 25 degrees Celsius feels",cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 25 degrees Celsius feels",bath water,heated oven air,standard_explicit,-13,-155,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p025-bath_water-vs-heated_oven_air,temp-v1_2-p025-bath_water-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,38,180,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 35 degrees Celsius feels",warm,"The normal temperature for room air is 21 degrees Celsius. Compared only to that 21-degree baseline for room air, a temperature of 35 degrees Celsius feels",freezer air,room air,standard_explicit,53,14,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p035-freezer_air-vs-room_air,temp-v1_2-p035-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,21,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
warm,"The normal temperature for swimming-pool water is 27 degrees Celsius. Compared only to that 27-degree baseline for swimming-pool water, a temperature of 35 degrees Celsius feels",hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 35 degrees Celsius feels",swimming-pool water,freezer air,standard_explicit,8,53,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,True,temp-v1_2-p035-swimming_pool_water-vs-freezer_air,temp-v1_2-p035-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,27,-18,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 35 degrees Celsius feels",cold,"The normal temperature for freshly served tea is 80 degrees Celsius. Compared only to that 80-degree baseline for freshly served tea, a temperature of 35 degrees Celsius feels",freezer air,freshly served tea,standard_explicit,53,-45,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p035-freezer_air-vs-freshly_served_tea,temp-v1_2-p035-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,80,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
hot,"The normal temperature for freezer air is -18 degrees Celsius. Compared only to that -18-degree baseline for freezer air, a temperature of 35 degrees Celsius feels",cold,"The normal temperature for heated oven air is 180 degrees Celsius. Compared only to that 180-degree baseline for heated oven air, a temperature of 35 degrees Celsius feels",freezer air,heated oven air,standard_explicit,53,-145,same_scalar_different_explicit_standard_balanced_orientation,temperature,False,False,False,temp-v1_2-p035-freezer_air-vs-heated_oven_air,temp-v1_2-p035-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_2,-18,180,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
