abs_observed_ordered_shift,both_correct,comparison_a,comparison_b,correct_a,correct_b,entropy_a,entropy_b,expected_a,expected_b,expected_shift,margin_a,margin_b,observed_ordered_shift,pair_id,pred_a,pred_b,pred_shift,shift_direction_match,target,value
0.11030079823295402,0,mouse-like objects in the toy lab,ant-like objects in the toy lab,1,0,0.628768036365563,0.9678412544595888,small,tiny,-1.0,2.0776357650756836,-1.8635425567626953,0.11030079823295402,size-v2-artificial-p0130-mouse_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,small,small,0.0,0,130 centimeters,130
0.417713954982323,0,human-like objects in the toy lab,ant-like objects in the toy lab,0,0,1.1352959367519952,0.9678412544595888,huge,tiny,-3.0,-1.4749336242675781,-1.8635425567626953,-0.417713954982323,size-v2-artificial-p0130-human_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,large,small,-1.0,1,130 centimeters,130
0.034082189454880174,0,elephant-like objects in the toy lab,ant-like objects in the toy lab,0,0,0.9486677779784065,0.9678412544595888,huge,tiny,-3.0,-2.285904884338379,-1.8635425567626953,0.034082189454880174,size-v2-artificial-p0130-elephant_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,small,small,0.0,0,130 centimeters,130
0.528014753215277,0,human-like objects in the toy lab,mouse-like objects in the toy lab,0,1,1.1352959367519952,0.628768036365563,huge,small,-2.0,-1.4749336242675781,2.0776357650756836,-0.528014753215277,size-v2-artificial-p0130-human_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,large,small,-1.0,1,130 centimeters,130
0.07621860877807385,0,mouse-like objects in the toy lab,elephant-like objects in the toy lab,1,0,0.628768036365563,0.9486677779784065,small,huge,2.0,2.0776357650756836,-2.285904884338379,0.07621860877807385,size-v2-artificial-p0130-mouse_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,small,small,0.0,1,130 centimeters,130
0.4367694033309315,1,mouse-like objects in the toy lab,ant-like objects in the toy lab,1,1,1.148678901076408,1.0210383513684276,large,small,-1.0,0.1250438690185547,1.2711772918701172,-0.4367694033309315,size-v2-artificial-p0200-mouse_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,large,small,-1.0,1,200 centimeters,200
0.14108444922040664,0,ant-like objects in the toy lab,human-like objects in the toy lab,1,0,1.0210383513684276,1.1393936281036903,small,huge,2.0,1.2711772918701172,-1.7763209342956543,0.14108444922040664,size-v2-artificial-p0200-ant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,small,small,0.0,1,200 centimeters,200
0.23090336186075167,0,elephant-like objects in the toy lab,ant-like objects in the toy lab,0,1,0.7629358404254694,1.0210383513684276,huge,small,-2.0,-3.0404953956604004,1.2711772918701172,0.23090336186075167,size-v2-artificial-p0200-elephant_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,small,small,0.0,0,200 centimeters,200
0.29568495411052487,0,human-like objects in the toy lab,mouse-like objects in the toy lab,0,1,1.1393936281036903,1.148678901076408,huge,large,-1.0,-1.7763209342956543,0.1250438690185547,0.29568495411052487,size-v2-artificial-p0200-human_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,large,1.0,0,200 centimeters,200
0.6676727651916832,0,mouse-like objects in the toy lab,elephant-like objects in the toy lab,1,0,1.148678901076408,0.7629358404254694,large,huge,1.0,0.1250438690185547,-3.0404953956604004,-0.6676727651916832,size-v2-artificial-p0200-mouse_like_objects_in_the_toy_lab-vs-elephant_like_objects_in_the_toy_lab,large,small,-1.0,0,200 centimeters,200
0.4248633518119673,0,mouse-like objects in the toy lab,human-like objects in the toy lab,1,0,1.1396239904114587,1.1603245137520202,large,huge,1.0,0.629673957824707,-1.4153642654418945,-0.4248633518119673,size-v2-artificial-p0320-mouse_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,large,large,0.0,0,320 centimeters,320
0.525369696183873,0,elephant-like objects in the toy lab,mouse-like objects in the toy lab,0,1,1.1870748178684583,1.1396239904114587,huge,large,-1.0,-1.290980339050293,0.629673957824707,0.525369696183873,size-v2-artificial-p0320-elephant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,large,1.0,0,320 centimeters,320
0.2355184958783747,0,ant-like objects in the toy lab,mouse-like objects in the toy lab,0,0,1.2394344830516255,1.164502004694398,large,huge,1.0,-0.47280216217041016,-1.3171157836914062,-0.2355184958783747,size-v2-artificial-p0500-ant_like_objects_in_the_toy_lab-vs-mouse_like_objects_in_the_toy_lab,small,small,0.0,0,500 centimeters,500
0.5203131040034548,0,ant-like objects in the toy lab,human-like objects in the toy lab,0,0,1.2394344830516255,0.8562562420664841,large,huge,1.0,-0.47280216217041016,-3.0988616943359375,-0.5203131040034548,size-v2-artificial-p0500-ant_like_objects_in_the_toy_lab-vs-human_like_objects_in_the_toy_lab,small,small,0.0,0,500 centimeters,500
0.23803367788941454,0,elephant-like objects in the toy lab,ant-like objects in the toy lab,0,0,1.1807320076428496,1.2394344830516255,huge,large,-1.0,-1.2352933883666992,-0.47280216217041016,0.23803367788941454,size-v2-artificial-p0500-elephant_like_objects_in_the_toy_lab-vs-ant_like_objects_in_the_toy_lab,small,small,0.0,0,500 centimeters,500
