a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_id,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cold,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 5 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,23,-22,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,27,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cold,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 5 degrees Celsius is",freezer air,bath water,standard_explicit,23,-33,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,38,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 5 degrees Celsius is",freezer air,freshly served tea,standard_explicit,23,-75,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,80,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 5 degrees Celsius is",freezer air,heated oven air,standard_explicit,23,-175,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,180,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cold,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 5 degrees Celsius is",room air,swimming-pool water,standard_explicit,-16,-22,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-room_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,27,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cold,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 5 degrees Celsius is",room air,bath water,standard_explicit,-16,-33,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-room_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,38,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 5 degrees Celsius is",room air,freshly served tea,standard_explicit,-16,-75,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-room_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,80,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 5 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 5 degrees Celsius is",room air,heated oven air,standard_explicit,-16,-175,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p005-room_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,180,comparison_class_explicit,5 degrees Celsius,gradable_scalar,celsius,5
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 15 degrees Celsius is",freezer air,room air,standard_explicit,33,-6,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,21,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cool,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 15 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,33,-12,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,27,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 15 degrees Celsius is",freezer air,bath water,standard_explicit,33,-23,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,38,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 15 degrees Celsius is",freezer air,freshly served tea,standard_explicit,33,-65,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,80,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 15 degrees Celsius is",freezer air,heated oven air,standard_explicit,33,-165,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,180,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 15 degrees Celsius is",room air,bath water,standard_explicit,-6,-23,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-room_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,38,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 15 degrees Celsius is",room air,freshly served tea,standard_explicit,-6,-65,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-room_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,80,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 15 degrees Celsius is",room air,heated oven air,standard_explicit,-6,-165,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-room_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,180,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 15 degrees Celsius is",swimming-pool water,bath water,standard_explicit,-12,-23,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-swimming_pool_water-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,27,38,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 15 degrees Celsius is",swimming-pool water,freshly served tea,standard_explicit,-12,-65,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-swimming_pool_water-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,27,80,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
cool,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 15 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 15 degrees Celsius is",swimming-pool water,heated oven air,standard_explicit,-12,-165,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p015-swimming_pool_water-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,27,180,comparison_class_explicit,15 degrees Celsius,gradable_scalar,celsius,15
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 25 degrees Celsius is",warm,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 25 degrees Celsius is",freezer air,room air,standard_explicit,43,4,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,21,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 25 degrees Celsius is",cool,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 25 degrees Celsius is",freezer air,bath water,standard_explicit,43,-13,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,38,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 25 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 25 degrees Celsius is",freezer air,freshly served tea,standard_explicit,43,-55,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,80,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 25 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 25 degrees Celsius is",freezer air,heated oven air,standard_explicit,43,-155,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,180,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
warm,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 25 degrees Celsius is",cool,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 25 degrees Celsius is",room air,bath water,standard_explicit,4,-13,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-room_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,38,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
warm,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 25 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 25 degrees Celsius is",room air,freshly served tea,standard_explicit,4,-55,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-room_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,80,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
warm,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 25 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 25 degrees Celsius is",room air,heated oven air,standard_explicit,4,-155,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-room_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,180,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cool,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 25 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 25 degrees Celsius is",bath water,freshly served tea,standard_explicit,-13,-55,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-bath_water-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,38,80,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
cool,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 25 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 25 degrees Celsius is",bath water,heated oven air,standard_explicit,-13,-155,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p025-bath_water-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,38,180,comparison_class_explicit,25 degrees Celsius,gradable_scalar,celsius,25
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 35 degrees Celsius is",warm,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 35 degrees Celsius is",freezer air,room air,standard_explicit,53,14,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p035-freezer_air-vs-room_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,21,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 35 degrees Celsius is",warm,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 35 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,53,8,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p035-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,27,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 35 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 35 degrees Celsius is",freezer air,freshly served tea,standard_explicit,53,-45,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p035-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,80,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 35 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 35 degrees Celsius is",freezer air,heated oven air,standard_explicit,53,-145,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p035-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,180,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
warm,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 35 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 35 degrees Celsius is",room air,freshly served tea,standard_explicit,14,-45,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p035-room_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,80,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
warm,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 35 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 35 degrees Celsius is",room air,heated oven air,standard_explicit,14,-145,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p035-room_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,180,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
warm,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 35 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 35 degrees Celsius is",swimming-pool water,freshly served tea,standard_explicit,8,-45,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p035-swimming_pool_water-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,27,80,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
warm,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 35 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 35 degrees Celsius is",swimming-pool water,heated oven air,standard_explicit,8,-145,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p035-swimming_pool_water-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,27,180,comparison_class_explicit,35 degrees Celsius,gradable_scalar,celsius,35
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 45 degrees Celsius is",warm,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 45 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,63,18,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-freezer_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,27,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 45 degrees Celsius is",warm,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 45 degrees Celsius is",freezer air,bath water,standard_explicit,63,7,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-freezer_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,38,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 45 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 45 degrees Celsius is",freezer air,freshly served tea,standard_explicit,63,-35,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-freezer_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,80,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
hot,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, 45 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 45 degrees Celsius is",freezer air,heated oven air,standard_explicit,63,-135,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-freezer_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,-18,180,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
hot,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 45 degrees Celsius is",warm,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 45 degrees Celsius is",room air,swimming-pool water,standard_explicit,24,18,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-room_air-vs-swimming_pool_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,27,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
hot,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 45 degrees Celsius is",warm,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, 45 degrees Celsius is",room air,bath water,standard_explicit,24,7,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-room_air-vs-bath_water,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,38,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
hot,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 45 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 45 degrees Celsius is",room air,freshly served tea,standard_explicit,24,-35,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-room_air-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,80,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
hot,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, 45 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 45 degrees Celsius is",room air,heated oven air,standard_explicit,24,-135,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-room_air-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,21,180,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
warm,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 45 degrees Celsius is",cold,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, 45 degrees Celsius is",swimming-pool water,freshly served tea,standard_explicit,18,-35,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-swimming_pool_water-vs-freshly_served_tea,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,27,80,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
warm,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, 45 degrees Celsius is",cold,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, 45 degrees Celsius is",swimming-pool water,heated oven air,standard_explicit,18,-135,same_scalar_different_explicit_standard,temperature,False,False,temp-v1-p045-swimming_pool_water-vs-heated_oven_air,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1,27,180,comparison_class_explicit,45 degrees Celsius,gradable_scalar,celsius,45
