comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_cold,logscore_cool,logscore_hot,logscore_warm,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_cold,prob_cool,prob_hot,prob_warm,prompt,scale_type,side,source,standard_type,target,type,unit,value
freezer air,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5815981204581822,warm,2.0,False,False,-6.85984992980957,-9.6886568069458,-9.611856460571289,-9.835397720336914,-2.9755477905273438,0.30029871450675405,temp-v1_3b-m010-freezer_air-vs-room_air,cold,0.0,warm_cold,0.8518595026464131,0.050330675046071874,0.054348394845652036,0.04346142746186304,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,room air,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.0752554220949044,cold,0.0,False,False,-7.044005393981934,-8.854543685913086,-7.7385663986206055,-9.222582817077637,0.6945610046386719,1.0629424104275647,temp-v1_3b-m010-freezer_air-vs-room_air,cold,0.0,warm_cold,0.5630433725217195,0.09209478988522415,0.28112394535622814,0.063737892236828,"If the normal temperature for room air is 21 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,swimming-pool water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5815981204581822,warm,2.0,False,False,-6.85984992980957,-9.6886568069458,-9.611856460571289,-9.835397720336914,-2.9755477905273438,0.30029871450675405,temp-v1_3b-m010-freezer_air-vs-swimming_pool_water,cold,0.0,warm_cold,0.8518595026464131,0.050330675046071874,0.054348394845652036,0.04346142746186304,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,swimming-pool water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.1793566638005222,cold,0.0,False,False,-7.670032501220703,-9.340003967285156,-7.506130218505859,-8.718525886535645,-0.16390228271484375,1.6281850228985035,temp-v1_3b-m010-freezer_air-vs-swimming_pool_water,hot,3.0,warm_cold,0.36807779187527845,0.06929154137947836,0.4336321480285388,0.12899851871670429,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.9886593369136941,cold,0.0,False,False,-8.27933120727539,-10.52359390258789,-7.661135196685791,-9.689691543579102,-0.6181960105895996,1.9218788750093887,temp-v1_3b-m010-bath_water-vs-freezer_air,hot,3.0,warm_cold,0.31195032659039895,0.033068503390892325,0.578848031581079,0.07613313843762963,"If the normal temperature for bath water is 38 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5815981204581822,warm,2.0,False,False,-6.85984992980957,-9.6886568069458,-9.611856460571289,-9.835397720336914,-2.9755477905273438,0.30029871450675405,temp-v1_3b-m010-bath_water-vs-freezer_air,cold,0.0,warm_cold,0.8518595026464131,0.050330675046071874,0.054348394845652036,0.04346142746186304,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5815981204581822,warm,2.0,False,False,-6.85984992980957,-9.6886568069458,-9.611856460571289,-9.835397720336914,-2.9755477905273438,0.30029871450675405,temp-v1_3b-m010-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.8518595026464131,0.050330675046071874,0.054348394845652036,0.04346142746186304,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.6817378376800274,cold,0.0,False,False,-8.508464813232422,-9.958673477172852,-6.818469047546387,-10.159224510192871,-1.6899957656860352,2.4652338247894514,temp-v1_3b-m010-freezer_air-vs-freshly_served_tea,hot,3.0,warm_cold,0.1460731910525085,0.034257281502776626,0.7916374883972451,0.028032039047469714,"If the normal temperature for freshly served tea is 80 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5815981204581822,warm,2.0,False,False,-6.85984992980957,-9.6886568069458,-9.611856460571289,-9.835397720336914,-2.9755477905273438,0.30029871450675405,temp-v1_3b-m010-freezer_air-vs-heated_oven_air,cold,0.0,warm_cold,0.8518595026464131,0.050330675046071874,0.054348394845652036,0.04346142746186304,"If the normal temperature for freezer air is -18 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
freezer air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.4154427705890805,cold,0.0,False,False,-7.788115501403809,-9.542186737060547,-5.011735916137695,-8.294113159179688,-2.7763795852661133,2.7786008282556143,temp-v1_3b-m010-freezer_air-vs-heated_oven_air,hot,3.0,warm_cold,0.05606405463242941,0.009702888591559863,0.9004318261120332,0.03380123066397772,"If the normal temperature for heated oven air is 180 degrees Celsius, then -10 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,-10 degrees Celsius,gradable_scalar,Celsius,-10
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.3458329095640784,cool,1.0,False,False,-8.891524314880371,-9.415664672851562,-8.821547508239746,-9.451495170593262,-0.5941171646118164,1.5303809189377966,temp-v1_3b-p005-room_air-vs-freezer_air,hot,3.0,warm_cold,0.30904515266691146,0.18297454291066148,0.331445767182281,0.17653453724014606,"If the normal temperature for room air is 21 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.18686509550021,hot,3.0,False,False,-8.144701957702637,-9.791818618774414,-9.034591674804688,-9.398300170898438,-0.8898897171020508,1.0565856060196754,temp-v1_3b-p005-room_air-vs-freezer_air,cold,0.0,warm_cold,0.5294419378446319,0.10197287466625357,0.21744235637519294,0.15114283111392154,"If the normal temperature for freezer air is -18 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
freezer air,swimming-pool water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.18686509550021,hot,3.0,False,False,-8.144701957702637,-9.791818618774414,-9.034591674804688,-9.398300170898438,-0.8898897171020508,1.0565856060196754,temp-v1_3b-p005-freezer_air-vs-swimming_pool_water,cold,0.0,warm_cold,0.5294419378446319,0.10197287466625357,0.21744235637519294,0.15114283111392154,"If the normal temperature for freezer air is -18 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
freezer air,swimming-pool water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2310078879983595,cold,0.0,False,False,-8.713519096374512,-9.479917526245117,-7.834880828857422,-8.58409595489502,-0.8786382675170898,1.9886109166199317,temp-v1_3b-p005-freezer_air-vs-swimming_pool_water,hot,3.0,warm_cold,0.19958190707714765,0.09274244883469979,0.48051717960892704,0.2271584644792254,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
freezer air,bath water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.18686509550021,hot,3.0,False,False,-8.144701957702637,-9.791818618774414,-9.034591674804688,-9.398300170898438,-0.8898897171020508,1.0565856060196754,temp-v1_3b-p005-freezer_air-vs-bath_water,cold,0.0,warm_cold,0.5294419378446319,0.10197287466625357,0.21744235637519294,0.15114283111392154,"If the normal temperature for freezer air is -18 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
freezer air,bath water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.9842454214401969,cold,0.0,False,False,-10.296130180358887,-11.555962562561035,-9.105740547180176,-11.039447784423828,-1.190389633178711,2.199037392825421,temp-v1_3b-p005-freezer_air-vs-bath_water,hot,3.0,warm_cold,0.19811405515361719,0.05620526966453009,0.6514707727971853,0.09420990238466727,"If the normal temperature for bath water is 38 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.18686509550021,hot,3.0,False,False,-8.144701957702637,-9.791818618774414,-9.034591674804688,-9.398300170898438,-0.8898897171020508,1.0565856060196754,temp-v1_3b-p005-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.5294419378446319,0.10197287466625357,0.21744235637519294,0.15114283111392154,"If the normal temperature for freezer air is -18 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5267125552843264,cold,0.0,False,False,-11.024383544921875,-10.614051818847656,-7.864830017089844,-11.010960578918457,-3.1595535278320312,2.740475856402494,temp-v1_3b-p005-freezer_air-vs-freshly_served_tea,hot,3.0,warm_cold,0.03692638665424783,0.055659796894365794,0.8699884266053549,0.03742538984603155,"If the normal temperature for freshly served tea is 80 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
heated oven air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.3202464469237861,cold,0.0,False,False,-10.166091918945312,-10.858707427978516,-6.025439739227295,-8.92781925201416,-4.140652179718018,2.8901051212938076,temp-v1_3b-p005-heated_oven_air-vs-freezer_air,hot,3.0,warm_cold,0.014750631199041936,0.007379237887417974,0.9269856215793091,0.05088450933423111,"If the normal temperature for heated oven air is 180 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
heated oven air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.18686509550021,hot,3.0,False,False,-8.144701957702637,-9.791818618774414,-9.034591674804688,-9.398300170898438,-0.8898897171020508,1.0565856060196754,temp-v1_3b-p005-heated_oven_air-vs-freezer_air,cold,0.0,warm_cold,0.5294419378446319,0.10197287466625357,0.21744235637519294,0.15114283111392154,"If the normal temperature for freezer air is -18 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
swimming-pool water,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2310078879983595,cold,0.0,False,False,-8.713519096374512,-9.479917526245117,-7.834880828857422,-8.58409595489502,-0.8786382675170898,1.9886109166199317,temp-v1_3b-p005-swimming_pool_water-vs-room_air,hot,3.0,warm_cold,0.19958190707714765,0.09274244883469979,0.48051717960892704,0.2271584644792254,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
swimming-pool water,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.3458329095640784,cool,1.0,False,False,-8.891524314880371,-9.415664672851562,-8.821547508239746,-9.451495170593262,-0.5941171646118164,1.5303809189377966,temp-v1_3b-p005-swimming_pool_water-vs-room_air,hot,3.0,warm_cold,0.30904515266691146,0.18297454291066148,0.331445767182281,0.17653453724014606,"If the normal temperature for room air is 21 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
room air,bath water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.3458329095640784,cool,1.0,False,False,-8.891524314880371,-9.415664672851562,-8.821547508239746,-9.451495170593262,-0.5941171646118164,1.5303809189377966,temp-v1_3b-p005-room_air-vs-bath_water,hot,3.0,warm_cold,0.30904515266691146,0.18297454291066148,0.331445767182281,0.17653453724014606,"If the normal temperature for room air is 21 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
room air,bath water,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.9842454214401969,cold,0.0,False,False,-10.296130180358887,-11.555962562561035,-9.105740547180176,-11.039447784423828,-1.190389633178711,2.199037392825421,temp-v1_3b-p005-room_air-vs-bath_water,hot,3.0,warm_cold,0.19811405515361719,0.05620526966453009,0.6514707727971853,0.09420990238466727,"If the normal temperature for bath water is 38 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
freshly served tea,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.5267125552843264,cold,0.0,False,False,-11.024383544921875,-10.614051818847656,-7.864830017089844,-11.010960578918457,-3.1595535278320312,2.740475856402494,temp-v1_3b-p005-freshly_served_tea-vs-room_air,hot,3.0,warm_cold,0.03692638665424783,0.055659796894365794,0.8699884266053549,0.03742538984603155,"If the normal temperature for freshly served tea is 80 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
freshly served tea,room air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.3458329095640784,cool,1.0,False,False,-8.891524314880371,-9.415664672851562,-8.821547508239746,-9.451495170593262,-0.5941171646118164,1.5303809189377966,temp-v1_3b-p005-freshly_served_tea-vs-room_air,hot,3.0,warm_cold,0.30904515266691146,0.18297454291066148,0.331445767182281,0.17653453724014606,"If the normal temperature for room air is 21 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
room air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.3458329095640784,cool,1.0,False,False,-8.891524314880371,-9.415664672851562,-8.821547508239746,-9.451495170593262,-0.5941171646118164,1.5303809189377966,temp-v1_3b-p005-room_air-vs-heated_oven_air,hot,3.0,warm_cold,0.30904515266691146,0.18297454291066148,0.331445767182281,0.17653453724014606,"If the normal temperature for room air is 21 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
room air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.3202464469237861,cold,0.0,False,False,-10.166091918945312,-10.858707427978516,-6.025439739227295,-8.92781925201416,-4.140652179718018,2.8901051212938076,temp-v1_3b-p005-room_air-vs-heated_oven_air,hot,3.0,warm_cold,0.014750631199041936,0.007379237887417974,0.9269856215793091,0.05088450933423111,"If the normal temperature for heated oven air is 180 degrees Celsius, then 5 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.3637869163181857,cool,1.0,False,False,-9.984774589538574,-10.539548873901367,-9.981941223144531,-10.180133819580078,-0.5576076507568359,1.5377766588264499,temp-v1_3b-p015-room_air-vs-freezer_air,hot,3.0,warm_cold,0.29415412551932996,0.168903843913603,0.2949887537787126,0.24195327678835454,"If the normal temperature for room air is 21 degrees Celsius, then 15 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
room air,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.9128942985951092,hot,3.0,False,False,-8.522821426391602,-10.804108619689941,-10.502556800842285,-10.319690704345703,-1.9797353744506836,0.6031712430239087,temp-v1_3b-p015-room_air-vs-freezer_air,cold,0.0,warm_cold,0.7111993050412166,0.07265088079366568,0.09822073390000766,0.11792908026511001,"If the normal temperature for freezer air is -18 degrees Celsius, then 15 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
swimming-pool water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.2867508241481675,cool,1.0,False,False,-9.871872901916504,-10.881365776062012,-9.43791675567627,-9.762470245361328,-1.4434490203857422,1.7959289639665528,temp-v1_3b-p015-swimming_pool_water-vs-freezer_air,hot,3.0,warm_cold,0.24854808249428906,0.09057184866216147,0.3835969776172925,0.2772830912262569,"If the normal temperature for swimming-pool water is 27 degrees Celsius, then 15 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
swimming-pool water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,0.9128942985951092,hot,3.0,False,False,-8.522821426391602,-10.804108619689941,-10.502556800842285,-10.319690704345703,-1.9797353744506836,0.6031712430239087,temp-v1_3b-p015-swimming_pool_water-vs-freezer_air,cold,0.0,warm_cold,0.7111993050412166,0.07265088079366568,0.09822073390000766,0.11792908026511001,"If the normal temperature for freezer air is -18 degrees Celsius, then 15 degrees Celsius would best be called",relative_open_temperature,b,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
bath water,freezer air,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,1.1053562809677309,cold,0.0,False,False,-10.576614379882812,-12.097785949707031,-9.967199325561523,-11.602546691894531,-0.6094150543212891,1.8890309318197176,temp-v1_3b-p015-bath_water-vs-freezer_air,hot,3.0,warm_cold,0.29271664724684127,0.06394564956599046,0.5384098758793905,0.10492782730777767,"If the normal temperature for bath water is 38 degrees Celsius, then 15 degrees Celsius would best be called",relative_open_temperature,a,bierwisch_kennedy_temperature_v1_3_b,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
