a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,design,dimension,is_artificial_norm,is_borderline,pair_id,predicate_family,ratio_a,ratio_b,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",tiny,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 15 centimeters feels",an ant,a domestic cat,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0015-an_ant-vs-a_domestic_cat,tiny_huge,15.0,0.32608695652173914,relative_open_size,bierwisch_kennedy_size_v1_1,1,46,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 15 centimeters feels",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0015-an_ant-vs-a_labrador_dog,tiny_huge,15.0,0.25,relative_open_size,bierwisch_kennedy_size_v1_1,1,60,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 15 centimeters feels",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0015-an_ant-vs-an_adult_human,tiny_huge,15.0,0.08823529411764706,relative_open_size,bierwisch_kennedy_size_v1_1,1,170,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 15 centimeters feels",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0015-an_ant-vs-an_african_elephant,tiny_huge,15.0,0.04285714285714286,relative_open_size,bierwisch_kennedy_size_v1_1,1,350,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",tiny,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 15 centimeters feels",a house mouse,a domestic cat,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0015-a_house_mouse-vs-a_domestic_cat,tiny_huge,1.6666666666666667,0.32608695652173914,relative_open_size,bierwisch_kennedy_size_v1_1,9,46,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 15 centimeters feels",a house mouse,a labrador dog,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0015-a_house_mouse-vs-a_labrador_dog,tiny_huge,1.6666666666666667,0.25,relative_open_size,bierwisch_kennedy_size_v1_1,9,60,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 15 centimeters feels",a house mouse,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0015-a_house_mouse-vs-an_adult_human,tiny_huge,1.6666666666666667,0.08823529411764706,relative_open_size,bierwisch_kennedy_size_v1_1,9,170,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 15 centimeters feels",a house mouse,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0015-a_house_mouse-vs-an_african_elephant,tiny_huge,1.6666666666666667,0.04285714285714286,relative_open_size,bierwisch_kennedy_size_v1_1,9,350,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 25 centimeters feels",small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",an ant,a domestic cat,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-an_ant-vs-a_domestic_cat,tiny_huge,25.0,0.5434782608695652,relative_open_size,bierwisch_kennedy_size_v1_1,1,46,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 25 centimeters feels",tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 25 centimeters feels",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-an_ant-vs-a_labrador_dog,tiny_huge,25.0,0.4166666666666667,relative_open_size,bierwisch_kennedy_size_v1_1,1,60,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 25 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 25 centimeters feels",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-an_ant-vs-an_adult_human,tiny_huge,25.0,0.14705882352941177,relative_open_size,bierwisch_kennedy_size_v1_1,1,170,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 25 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 25 centimeters feels",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-an_ant-vs-an_african_elephant,tiny_huge,25.0,0.07142857142857142,relative_open_size,bierwisch_kennedy_size_v1_1,1,350,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 25 centimeters feels",small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",a house mouse,a domestic cat,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-a_house_mouse-vs-a_domestic_cat,tiny_huge,2.7777777777777777,0.5434782608695652,relative_open_size,bierwisch_kennedy_size_v1_1,9,46,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 25 centimeters feels",tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 25 centimeters feels",a house mouse,a labrador dog,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-a_house_mouse-vs-a_labrador_dog,tiny_huge,2.7777777777777777,0.4166666666666667,relative_open_size,bierwisch_kennedy_size_v1_1,9,60,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 25 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 25 centimeters feels",a house mouse,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-a_house_mouse-vs-an_adult_human,tiny_huge,2.7777777777777777,0.14705882352941177,relative_open_size,bierwisch_kennedy_size_v1_1,9,170,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 25 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 25 centimeters feels",a house mouse,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-a_house_mouse-vs-an_african_elephant,tiny_huge,2.7777777777777777,0.07142857142857142,relative_open_size,bierwisch_kennedy_size_v1_1,9,350,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 25 centimeters feels",a domestic cat,a labrador dog,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-a_domestic_cat-vs-a_labrador_dog,tiny_huge,0.5434782608695652,0.4166666666666667,relative_open_size,bierwisch_kennedy_size_v1_1,46,60,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 25 centimeters feels",a domestic cat,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-a_domestic_cat-vs-an_adult_human,tiny_huge,0.5434782608695652,0.14705882352941177,relative_open_size,bierwisch_kennedy_size_v1_1,46,170,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 25 centimeters feels",a domestic cat,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0025-a_domestic_cat-vs-an_african_elephant,tiny_huge,0.5434782608695652,0.07142857142857142,relative_open_size,bierwisch_kennedy_size_v1_1,46,350,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 40 centimeters feels",small,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 40 centimeters feels",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0040-an_ant-vs-a_labrador_dog,tiny_huge,40.0,0.6666666666666666,relative_open_size,bierwisch_kennedy_size_v1_1,1,60,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 40 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 40 centimeters feels",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0040-an_ant-vs-an_adult_human,tiny_huge,40.0,0.23529411764705882,relative_open_size,bierwisch_kennedy_size_v1_1,1,170,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 40 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 40 centimeters feels",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0040-an_ant-vs-an_african_elephant,tiny_huge,40.0,0.11428571428571428,relative_open_size,bierwisch_kennedy_size_v1_1,1,350,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 40 centimeters feels",small,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 40 centimeters feels",a house mouse,a labrador dog,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0040-a_house_mouse-vs-a_labrador_dog,tiny_huge,4.444444444444445,0.6666666666666666,relative_open_size,bierwisch_kennedy_size_v1_1,9,60,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 40 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 40 centimeters feels",a house mouse,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0040-a_house_mouse-vs-an_adult_human,tiny_huge,4.444444444444445,0.23529411764705882,relative_open_size,bierwisch_kennedy_size_v1_1,9,170,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 40 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 40 centimeters feels",a house mouse,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0040-a_house_mouse-vs-an_african_elephant,tiny_huge,4.444444444444445,0.11428571428571428,relative_open_size,bierwisch_kennedy_size_v1_1,9,350,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
small,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 40 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 40 centimeters feels",a labrador dog,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0040-a_labrador_dog-vs-an_adult_human,tiny_huge,0.6666666666666666,0.23529411764705882,relative_open_size,bierwisch_kennedy_size_v1_1,60,170,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
small,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 40 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 40 centimeters feels",a labrador dog,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0040-a_labrador_dog-vs-an_african_elephant,tiny_huge,0.6666666666666666,0.11428571428571428,relative_open_size,bierwisch_kennedy_size_v1_1,60,350,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 60 centimeters feels",large,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 60 centimeters feels",an ant,a domestic cat,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0060-an_ant-vs-a_domestic_cat,tiny_huge,60.0,1.3043478260869565,relative_open_size,bierwisch_kennedy_size_v1_1,1,46,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 60 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 60 centimeters feels",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0060-an_ant-vs-an_adult_human,tiny_huge,60.0,0.35294117647058826,relative_open_size,bierwisch_kennedy_size_v1_1,1,170,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 60 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 60 centimeters feels",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0060-an_ant-vs-an_african_elephant,tiny_huge,60.0,0.17142857142857143,relative_open_size,bierwisch_kennedy_size_v1_1,1,350,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 60 centimeters feels",large,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 60 centimeters feels",a house mouse,a domestic cat,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0060-a_house_mouse-vs-a_domestic_cat,tiny_huge,6.666666666666667,1.3043478260869565,relative_open_size,bierwisch_kennedy_size_v1_1,9,46,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 60 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 60 centimeters feels",a house mouse,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0060-a_house_mouse-vs-an_adult_human,tiny_huge,6.666666666666667,0.35294117647058826,relative_open_size,bierwisch_kennedy_size_v1_1,9,170,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 60 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 60 centimeters feels",a house mouse,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0060-a_house_mouse-vs-an_african_elephant,tiny_huge,6.666666666666667,0.17142857142857143,relative_open_size,bierwisch_kennedy_size_v1_1,9,350,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
large,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 60 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 60 centimeters feels",a domestic cat,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0060-a_domestic_cat-vs-an_adult_human,tiny_huge,1.3043478260869565,0.35294117647058826,relative_open_size,bierwisch_kennedy_size_v1_1,46,170,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
large,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 60 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 60 centimeters feels",a domestic cat,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0060-a_domestic_cat-vs-an_african_elephant,tiny_huge,1.3043478260869565,0.17142857142857143,relative_open_size,bierwisch_kennedy_size_v1_1,46,350,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 90 centimeters feels",large,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 90 centimeters feels",an ant,a domestic cat,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0090-an_ant-vs-a_domestic_cat,tiny_huge,90.0,1.9565217391304348,relative_open_size,bierwisch_kennedy_size_v1_1,1,46,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 90 centimeters feels",large,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 90 centimeters feels",an ant,a labrador dog,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0090-an_ant-vs-a_labrador_dog,tiny_huge,90.0,1.5,relative_open_size,bierwisch_kennedy_size_v1_1,1,60,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 90 centimeters feels",small,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 90 centimeters feels",an ant,an adult human,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0090-an_ant-vs-an_adult_human,tiny_huge,90.0,0.5294117647058824,relative_open_size,bierwisch_kennedy_size_v1_1,1,170,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 90 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 90 centimeters feels",an ant,an african elephant,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0090-an_ant-vs-an_african_elephant,tiny_huge,90.0,0.2571428571428571,relative_open_size,bierwisch_kennedy_size_v1_1,1,350,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 90 centimeters feels",large,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 90 centimeters feels",a house mouse,a domestic cat,standard_explicit,same_scalar_different_explicit_standard,size,False,False,size-v1_1-p0090-a_house_mouse-vs-a_domestic_cat,tiny_huge,10.0,1.9565217391304348,relative_open_size,bierwisch_kennedy_size_v1_1,9,46,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
