a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,control_type,delta_a,delta_b,design,dimension,is_artificial_norm,is_borderline,pair_flipped,pair_id,pair_orientation_base_key,paraphrase,predicate_family,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
cold,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 5 degrees Celsius is",hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 5 degrees Celsius is",swimming-pool water,freezer air,standard_explicit,-22,23,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p005-swimming_pool_water-vs-freezer_air,temp-v1_3c-p005-freezer_air-vs-swimming_pool_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,27,-18,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 5 degrees Celsius is",cold,"For bath water, normal is 38 degrees Celsius. Compared to that, 5 degrees Celsius is",freezer air,bath water,standard_explicit,23,-33,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p005-freezer_air-vs-bath_water,temp-v1_3c-p005-freezer_air-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,38,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 5 degrees Celsius is",hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 5 degrees Celsius is",freshly served tea,freezer air,standard_explicit,-75,23,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p005-freshly_served_tea-vs-freezer_air,temp-v1_3c-p005-freezer_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,80,-18,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 5 degrees Celsius is",hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 5 degrees Celsius is",heated oven air,freezer air,standard_explicit,-175,23,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p005-heated_oven_air-vs-freezer_air,temp-v1_3c-p005-freezer_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,180,-18,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
cold,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 5 degrees Celsius is",cool,"For room air, normal is 21 degrees Celsius. Compared to that, 5 degrees Celsius is",swimming-pool water,room air,standard_explicit,-22,-16,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p005-swimming_pool_water-vs-room_air,temp-v1_3c-p005-room_air-vs-swimming_pool_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,27,21,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
cool,"For room air, normal is 21 degrees Celsius. Compared to that, 5 degrees Celsius is",cold,"For bath water, normal is 38 degrees Celsius. Compared to that, 5 degrees Celsius is",room air,bath water,standard_explicit,-16,-33,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p005-room_air-vs-bath_water,temp-v1_3c-p005-room_air-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,38,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 5 degrees Celsius is",cool,"For room air, normal is 21 degrees Celsius. Compared to that, 5 degrees Celsius is",freshly served tea,room air,standard_explicit,-75,-16,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p005-freshly_served_tea-vs-room_air,temp-v1_3c-p005-room_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,80,21,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 5 degrees Celsius is",cool,"For room air, normal is 21 degrees Celsius. Compared to that, 5 degrees Celsius is",heated oven air,room air,standard_explicit,-175,-16,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p005-heated_oven_air-vs-room_air,temp-v1_3c-p005-room_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,180,21,comparison_class_explicit,5 degrees Celsius,gradable_scalar,Celsius,5
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 15 degrees Celsius is",cool,"For room air, normal is 21 degrees Celsius. Compared to that, 15 degrees Celsius is",freezer air,room air,standard_explicit,33,-6,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p015-freezer_air-vs-room_air,temp-v1_3c-p015-freezer_air-vs-room_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,21,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 15 degrees Celsius is",cool,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 15 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,33,-12,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p015-freezer_air-vs-swimming_pool_water,temp-v1_3c-p015-freezer_air-vs-swimming_pool_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,27,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 15 degrees Celsius is",cold,"For bath water, normal is 38 degrees Celsius. Compared to that, 15 degrees Celsius is",freezer air,bath water,standard_explicit,33,-23,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p015-freezer_air-vs-bath_water,temp-v1_3c-p015-freezer_air-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,38,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 15 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 15 degrees Celsius is",freezer air,freshly served tea,standard_explicit,33,-65,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p015-freezer_air-vs-freshly_served_tea,temp-v1_3c-p015-freezer_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,80,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 15 degrees Celsius is",hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 15 degrees Celsius is",heated oven air,freezer air,standard_explicit,-165,33,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p015-heated_oven_air-vs-freezer_air,temp-v1_3c-p015-freezer_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,180,-18,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
cold,"For bath water, normal is 38 degrees Celsius. Compared to that, 15 degrees Celsius is",cool,"For room air, normal is 21 degrees Celsius. Compared to that, 15 degrees Celsius is",bath water,room air,standard_explicit,-23,-6,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p015-bath_water-vs-room_air,temp-v1_3c-p015-room_air-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,38,21,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
cool,"For room air, normal is 21 degrees Celsius. Compared to that, 15 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 15 degrees Celsius is",room air,freshly served tea,standard_explicit,-6,-65,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p015-room_air-vs-freshly_served_tea,temp-v1_3c-p015-room_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,80,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 15 degrees Celsius is",cool,"For room air, normal is 21 degrees Celsius. Compared to that, 15 degrees Celsius is",heated oven air,room air,standard_explicit,-165,-6,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p015-heated_oven_air-vs-room_air,temp-v1_3c-p015-room_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,180,21,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
cool,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 15 degrees Celsius is",cold,"For bath water, normal is 38 degrees Celsius. Compared to that, 15 degrees Celsius is",swimming-pool water,bath water,standard_explicit,-12,-23,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p015-swimming_pool_water-vs-bath_water,temp-v1_3c-p015-swimming_pool_water-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,27,38,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
cool,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 15 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 15 degrees Celsius is",swimming-pool water,freshly served tea,standard_explicit,-12,-65,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p015-swimming_pool_water-vs-freshly_served_tea,temp-v1_3c-p015-swimming_pool_water-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,27,80,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
cool,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 15 degrees Celsius is",cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 15 degrees Celsius is",swimming-pool water,heated oven air,standard_explicit,-12,-165,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p015-swimming_pool_water-vs-heated_oven_air,temp-v1_3c-p015-swimming_pool_water-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,27,180,comparison_class_explicit,15 degrees Celsius,gradable_scalar,Celsius,15
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 25 degrees Celsius is",warm,"For room air, normal is 21 degrees Celsius. Compared to that, 25 degrees Celsius is",freezer air,room air,standard_explicit,43,4,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p025-freezer_air-vs-room_air,temp-v1_3c-p025-freezer_air-vs-room_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,21,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
cool,"For bath water, normal is 38 degrees Celsius. Compared to that, 25 degrees Celsius is",hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 25 degrees Celsius is",bath water,freezer air,standard_explicit,-13,43,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p025-bath_water-vs-freezer_air,temp-v1_3c-p025-freezer_air-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,38,-18,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 25 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 25 degrees Celsius is",freezer air,freshly served tea,standard_explicit,43,-55,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p025-freezer_air-vs-freshly_served_tea,temp-v1_3c-p025-freezer_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,80,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 25 degrees Celsius is",cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 25 degrees Celsius is",freezer air,heated oven air,standard_explicit,43,-155,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p025-freezer_air-vs-heated_oven_air,temp-v1_3c-p025-freezer_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,180,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
cool,"For bath water, normal is 38 degrees Celsius. Compared to that, 25 degrees Celsius is",warm,"For room air, normal is 21 degrees Celsius. Compared to that, 25 degrees Celsius is",bath water,room air,standard_explicit,-13,4,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p025-bath_water-vs-room_air,temp-v1_3c-p025-room_air-vs-bath_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,38,21,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
warm,"For room air, normal is 21 degrees Celsius. Compared to that, 25 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 25 degrees Celsius is",room air,freshly served tea,standard_explicit,4,-55,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p025-room_air-vs-freshly_served_tea,temp-v1_3c-p025-room_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,80,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
warm,"For room air, normal is 21 degrees Celsius. Compared to that, 25 degrees Celsius is",cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 25 degrees Celsius is",room air,heated oven air,standard_explicit,4,-155,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p025-room_air-vs-heated_oven_air,temp-v1_3c-p025-room_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,180,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
cool,"For bath water, normal is 38 degrees Celsius. Compared to that, 25 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 25 degrees Celsius is",bath water,freshly served tea,standard_explicit,-13,-55,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p025-bath_water-vs-freshly_served_tea,temp-v1_3c-p025-bath_water-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,38,80,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 25 degrees Celsius is",cool,"For bath water, normal is 38 degrees Celsius. Compared to that, 25 degrees Celsius is",heated oven air,bath water,standard_explicit,-155,-13,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p025-heated_oven_air-vs-bath_water,temp-v1_3c-p025-bath_water-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,180,38,comparison_class_explicit,25 degrees Celsius,gradable_scalar,Celsius,25
warm,"For room air, normal is 21 degrees Celsius. Compared to that, 35 degrees Celsius is",hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 35 degrees Celsius is",room air,freezer air,standard_explicit,14,53,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p035-room_air-vs-freezer_air,temp-v1_3c-p035-freezer_air-vs-room_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,-18,comparison_class_explicit,35 degrees Celsius,gradable_scalar,Celsius,35
warm,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 35 degrees Celsius is",hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 35 degrees Celsius is",swimming-pool water,freezer air,standard_explicit,8,53,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p035-swimming_pool_water-vs-freezer_air,temp-v1_3c-p035-freezer_air-vs-swimming_pool_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,27,-18,comparison_class_explicit,35 degrees Celsius,gradable_scalar,Celsius,35
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 35 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 35 degrees Celsius is",freezer air,freshly served tea,standard_explicit,53,-45,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p035-freezer_air-vs-freshly_served_tea,temp-v1_3c-p035-freezer_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,80,comparison_class_explicit,35 degrees Celsius,gradable_scalar,Celsius,35
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 35 degrees Celsius is",cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 35 degrees Celsius is",freezer air,heated oven air,standard_explicit,53,-145,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p035-freezer_air-vs-heated_oven_air,temp-v1_3c-p035-freezer_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,180,comparison_class_explicit,35 degrees Celsius,gradable_scalar,Celsius,35
warm,"For room air, normal is 21 degrees Celsius. Compared to that, 35 degrees Celsius is",cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 35 degrees Celsius is",room air,freshly served tea,standard_explicit,14,-45,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p035-room_air-vs-freshly_served_tea,temp-v1_3c-p035-room_air-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,21,80,comparison_class_explicit,35 degrees Celsius,gradable_scalar,Celsius,35
cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 35 degrees Celsius is",warm,"For room air, normal is 21 degrees Celsius. Compared to that, 35 degrees Celsius is",heated oven air,room air,standard_explicit,-145,14,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p035-heated_oven_air-vs-room_air,temp-v1_3c-p035-room_air-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,180,21,comparison_class_explicit,35 degrees Celsius,gradable_scalar,Celsius,35
cold,"For freshly served tea, normal is 80 degrees Celsius. Compared to that, 35 degrees Celsius is",warm,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 35 degrees Celsius is",freshly served tea,swimming-pool water,standard_explicit,-45,8,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,True,temp-v1_3c-p035-freshly_served_tea-vs-swimming_pool_water,temp-v1_3c-p035-swimming_pool_water-vs-freshly_served_tea,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,80,27,comparison_class_explicit,35 degrees Celsius,gradable_scalar,Celsius,35
warm,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 35 degrees Celsius is",cold,"For heated oven air, normal is 180 degrees Celsius. Compared to that, 35 degrees Celsius is",swimming-pool water,heated oven air,standard_explicit,8,-145,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p035-swimming_pool_water-vs-heated_oven_air,temp-v1_3c-p035-swimming_pool_water-vs-heated_oven_air,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,27,180,comparison_class_explicit,35 degrees Celsius,gradable_scalar,Celsius,35
hot,"For freezer air, normal is -18 degrees Celsius. Compared to that, 45 degrees Celsius is",warm,"For swimming-pool water, normal is 27 degrees Celsius. Compared to that, 45 degrees Celsius is",freezer air,swimming-pool water,standard_explicit,63,18,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,temperature,False,False,False,temp-v1_3c-p045-freezer_air-vs-swimming_pool_water,temp-v1_3c-p045-freezer_air-vs-swimming_pool_water,c,warm_cold,relative_open_temperature,bierwisch_kennedy_temperature_v1_3_c,-18,27,comparison_class_explicit,45 degrees Celsius,gradable_scalar,Celsius,45
