comparison,entropy,expected_label,expected_label_index,ordered_score,pair_id,pred_label,pred_label_index,predictor,prob_huge,prob_large,prob_small,prob_tiny,prompt,prompt_hash,prompt_length,rho,row_idx,side,signed_score,site,standard,target,token_idx,value,variant
Type E dax rods,0.6987784927847865,tiny,0.0,1.3795626891314416,size-v2-fictional_semantic-p0040-Type_A_dax_rods-vs-Type_E_dax_rods,small,1.0,-1.4469189829363254,0.0035746945314429237,0.3747398529683634,0.6193588996003859,0.002326552899807741,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 40 centimeters counts as",3bbda79208588bee,68,-1.4469189829363254,10,b,-0.24337090500038738,final_prompt_token,170.0,40 centimeters,67,40.0,fictional_semantic_adjective_counts
Type D dax rods,0.41716675431877803,tiny,0.0,1.1198111825433381,size-v2-fictional_semantic-p0015-Type_D_dax_rods-vs-Type_A_dax_rods,small,1.0,-1.3862943611198906,0.003921310552701567,0.11701574859357752,0.8740157536980785,0.005047187155642422,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 15 centimeters counts as",464c26c62d3bbba4,66,-1.3862943611198906,11,a,-0.7581258817074419,final_prompt_token,60.0,15 centimeters,65,15.0,fictional_semantic_adjective_counts
Type C dax rods,0.5942230436991728,large,2.0,1.8795383967978825,size-v2-fictional_semantic-p0060-Type_A_dax_rods-vs-Type_C_dax_rods,large,2.0,0.2657031657330057,0.03756225375247872,0.8053851620995118,0.15608131134142264,0.00097127280658678,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 60 centimeters counts as",4a9e2d4715058256,66,0.2657031657330057,12,b,0.685894831703981,final_prompt_token,46.0,60 centimeters,65,60.0,fictional_semantic_adjective_counts
Type D dax rods,0.5820746061092019,large,2.0,1.913308869497141,size-v2-fictional_semantic-p0090-Type_D_dax_rods-vs-Type_A_dax_rods,large,2.0,0.4054651081081644,0.04776793750920416,0.8182994695434168,0.13340611788269519,0.0005264750646840415,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 90 centimeters counts as",4db0bf3589ae1297,66,0.4054651081081644,13,a,0.7321348141052417,final_prompt_token,60.0,90 centimeters,65,90.0,fictional_semantic_adjective_counts
Type C dax rods,0.4537778737106868,tiny,0.0,1.12468392491237,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,small,1.0,-2.7300291078209855,0.004742487539358029,0.1240430262800781,0.8623704097341395,0.008844076446424268,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 3 centimeters counts as",4e0238ce2773bc3a,65,-2.7300291078209855,14,a,-0.7424289723611276,final_prompt_token,46.0,3 centimeters,64,3.0,fictional_semantic_adjective_counts
Type C dax rods,0.41157453777240854,small,1.0,1.1071190383708887,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_C_dax_rods,small,1.0,-0.6097655716208943,0.004839658486470558,0.10528736282258726,0.8820253372663023,0.007847641424639791,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 25 centimeters counts as",5090508451aec7ed,66,-0.6097655716208943,15,b,-0.7797459573818842,final_prompt_token,46.0,25 centimeters,65,25.0,fictional_semantic_adjective_counts
Type E dax rods,0.6910929926559544,tiny,0.0,1.34601864090367,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_E_dax_rods,small,1.0,-3.056356895370426,0.0047519002282373005,0.34002593054826186,0.6517110791224345,0.003511090101066305,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 8 centimeters counts as",50a718b86891248f,67,-3.056356895370426,16,b,-0.3104443384470017,final_prompt_token,170.0,8 centimeters,66,8.0,fictional_semantic_adjective_counts
Type D dax rods,0.6334620430639801,huge,3.0,1.9405096614737147,size-v2-fictional_semantic-p0130-Type_E_dax_rods-vs-Type_D_dax_rods,large,2.0,0.7731898882334817,0.07026896087890527,0.8007556219013061,0.1281915350343867,0.0007838821854019068,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 130 centimeters counts as",5fb557881c9dac2c,67,0.7731898882334817,17,b,0.7420491655604229,final_prompt_token,60.0,130 centimeters,66,130.0,fictional_semantic_adjective_counts
Type C dax rods,0.9037156594959848,huge,3.0,1.6074600548235887,size-v2-fictional_semantic-p0320-Type_C_dax_rods-vs-Type_E_dax_rods,large,2.0,1.9396795993046771,0.061821805604084526,0.4876742606199674,0.4466461167714002,0.0038578170045479475,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 320 centimeters counts as",6023010752878602,67,1.9396795993046771,18,a,0.09899213244810373,final_prompt_token,46.0,320 centimeters,66,320.0,fictional_semantic_adjective_counts
Type E dax rods,0.6582493056470184,huge,3.0,1.8652927086502509,size-v2-fictional_semantic-p0500-Type_F_dax_rods-vs-Type_E_dax_rods,large,2.0,1.07880966137193,0.04705650242724763,0.7720188238374833,0.18008555369354137,0.0008391200417276569,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 500 centimeters counts as",634d35892bff1cb0,69,1.07880966137193,19,b,0.638150652529462,final_prompt_token,170.0,500 centimeters,68,500.0,fictional_semantic_adjective_counts
Type A dax rods,0.8138641781694136,huge,3.0,1.6826028321413893,size-v2-fictional_semantic-p0130-Type_A_dax_rods-vs-Type_E_dax_rods,large,2.0,4.867534450455582,0.0350184673704372,0.6191061838832354,0.3393350622636071,0.006540286482720364,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 130 centimeters counts as",6ba9d9f22f4f982f,65,4.867534450455582,20,a,0.3082493025073451,final_prompt_token,1.0,130 centimeters,64,130.0,fictional_semantic_adjective_counts
Type A dax rods,0.6272833254456489,huge,3.0,1.842901999297732,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,large,2.0,1.0986122886681098,0.03127208212328218,0.7833148617384075,0.1824560294510709,0.0029570266872395905,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 3 centimeters counts as",6e5f5493ec7b835a,63,1.0986122886681098,21,b,0.6291738877233791,final_prompt_token,1.0,3 centimeters,62,3.0,fictional_semantic_adjective_counts
Type A dax rods,0.8038737936929178,huge,3.0,1.6809083522711208,size-v2-fictional_semantic-p0090-Type_C_dax_rods-vs-Type_A_dax_rods,large,2.0,4.499809670330265,0.03292808124249099,0.6205215295287131,0.3410810494862217,0.005469339742574309,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 90 centimeters counts as",701b2a41c1ec7fdc,64,4.499809670330265,22,b,0.3068992215424081,final_prompt_token,1.0,90 centimeters,63,90.0,fictional_semantic_adjective_counts
Type C dax rods,0.753578964185559,huge,3.0,1.9429337581861692,size-v2-fictional_semantic-p0130-Type_E_dax_rods-vs-Type_C_dax_rods,large,2.0,1.0388930539664876,0.10164321976928424,0.7410964265537301,0.15581124577085634,0.0014491079061293955,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 130 centimeters counts as",729a987e2cdfb0b1,67,1.0388930539664876,23,b,0.6854792926460286,final_prompt_token,46.0,130 centimeters,66,130.0,fictional_semantic_adjective_counts
Type B dax rods,0.7872524239594724,huge,3.0,1.6180102196176769,size-v2-fictional_semantic-p0060-Type_C_dax_rods-vs-Type_B_dax_rods,large,2.0,1.8971199848858813,0.022210078542392406,0.5768401647037734,0.3976996545829527,0.0032501021708814426,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 60 centimeters counts as",763aa88ae87ed215,64,1.8971199848858813,24,b,0.1981004864923317,final_prompt_token,9.0,60 centimeters,63,60.0,fictional_semantic_adjective_counts
Type F dax rods,0.5576682470931797,small,1.0,1.1757450121365696,size-v2-fictional_semantic-p0200-Type_F_dax_rods-vs-Type_A_dax_rods,small,1.0,-0.5596157879354228,0.003971067671875571,0.17960956389052227,0.8046126813398979,0.01180668709770406,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 200 centimeters counts as",771cb745daa4ec83,69,-0.5596157879354228,25,a,-0.6328387368752042,final_prompt_token,350.0,200 centimeters,68,200.0,fictional_semantic_adjective_counts
Type A dax rods,0.7194398537444466,huge,3.0,1.78593320782127,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_C_dax_rods,large,2.0,3.2188758248682006,0.03438679316280661,0.7222141453496671,0.23834453763351623,0.005054523854010192,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 25 centimeters counts as",77733dfab5ce6247,64,3.2188758248682006,26,a,0.5132018770249472,final_prompt_token,1.0,25 centimeters,63,25.0,fictional_semantic_adjective_counts
Type F dax rods,0.7317579753050759,tiny,0.0,1.3818330864970645,size-v2-fictional_semantic-p0060-Type_A_dax_rods-vs-Type_F_dax_rods,small,1.0,-1.7635885922613588,0.005615730452969663,0.3773079270360994,0.6103700410659568,0.006706301444974087,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 60 centimeters counts as",7eb743cb38ce9cca,68,-1.7635885922613588,27,b,-0.23415268502186187,final_prompt_token,350.0,60 centimeters,67,60.0,fictional_semantic_adjective_counts
Type D dax rods,0.8688000768044228,huge,3.0,1.7658938916744336,size-v2-fictional_semantic-p0500-Type_D_dax_rods-vs-Type_F_dax_rods,large,2.0,2.120263536200091,0.0761469768673477,0.6154218105796577,0.30660933991307493,0.0018218726399196077,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 500 centimeters counts as",82534c00b21b3188,67,2.120263536200091,28,a,0.3831375748940109,final_prompt_token,60.0,500 centimeters,66,500.0,fictional_semantic_adjective_counts
Type D dax rods,0.8093587768480227,huge,3.0,1.8857660564123706,size-v2-fictional_semantic-p0200-Type_D_dax_rods-vs-Type_E_dax_rods,large,2.0,1.2039728043259361,0.09484601947477514,0.6974315281840382,0.20636494161996857,0.0013575107212180622,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 200 centimeters counts as",83651f8bf8d14e8d,67,1.2039728043259361,29,a,0.5845550953176266,final_prompt_token,60.0,200 centimeters,66,200.0,fictional_semantic_adjective_counts
Type E dax rods,0.44635980966012284,large,2.0,1.9209469176730485,size-v2-fictional_semantic-p0200-Type_E_dax_rods-vs-Type_A_dax_rods,large,2.0,0.16251892949777494,0.024326536294883714,0.872818756311668,0.10232979616506177,0.000524911228386716,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 200 centimeters counts as",851b56b599f108ad,69,0.16251892949777494,30,a,0.7942905852131033,final_prompt_token,170.0,200 centimeters,68,200.0,fictional_semantic_adjective_counts
Type C dax rods,0.5142484771353149,tiny,0.0,1.1629056387747596,size-v2-fictional_semantic-p0015-Type_C_dax_rods-vs-Type_A_dax_rods,small,1.0,-1.120591195386885,0.006460775345607421,0.15717887137779923,0.8291655699823388,0.007194783294254516,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 15 centimeters counts as",871ca46e7e074d65,66,-1.120591195386885,31,a,-0.6727207065531866,final_prompt_token,46.0,15 centimeters,65,15.0,fictional_semantic_adjective_counts
Type B dax rods,0.7494966160951905,huge,3.0,1.6591106063658276,size-v2-fictional_semantic-p0040-Type_B_dax_rods-vs-Type_D_dax_rods,large,2.0,1.491654876777717,0.017983816515657048,0.6259280783486841,0.35330300012148824,0.002785105014170663,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 40 centimeters counts as",8821297d2ba61f7a,64,1.491654876777717,32,a,0.2878237897286823,final_prompt_token,9.0,40 centimeters,63,40.0,fictional_semantic_adjective_counts
Type E dax rods,0.6099833960272637,tiny,0.0,1.2622562985013563,size-v2-fictional_semantic-p0015-Type_E_dax_rods-vs-Type_A_dax_rods,small,1.0,-2.4277482359480516,0.0025797695995919056,0.2601188647668273,0.734279260168926,0.003022105464654825,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 15 centimeters counts as",8fa2335a06191035,68,-2.4277482359480516,33,a,-0.4746027312671617,final_prompt_token,170.0,15 centimeters,67,15.0,fictional_semantic_adjective_counts
Type D dax rods,0.5458162995417773,tiny,0.0,1.1900145025407067,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,small,1.0,-2.995732273553991,0.005984342218069029,0.18366453758338544,0.8047324007197287,0.005618719478816921,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 3 centimeters counts as",90daf54b74c645e0,65,-2.995732273553991,34,b,-0.6207022403970911,final_prompt_token,60.0,3 centimeters,64,3.0,fictional_semantic_adjective_counts
Type B dax rods,0.43488689512057493,tiny,0.0,1.1200047953500025,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,small,1.0,-1.0986122886681098,0.0020737881686888194,0.12389097142308908,0.8660014879977579,0.008033752410464366,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 3 centimeters counts as",913ebd6f30662a44,63,-1.0986122886681098,35,a,-0.7480704808164443,final_prompt_token,9.0,3 centimeters,62,3.0,fictional_semantic_adjective_counts
Type E dax rods,0.5657809090715031,small,1.0,1.2253929787100128,size-v2-fictional_semantic-p0090-Type_A_dax_rods-vs-Type_E_dax_rods,small,1.0,-0.6359887667199967,0.002510782368734993,0.22309075420420024,0.7716791231954071,0.0027193402316574907,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type E dax rods is 170 centimeters. Compared only to that 170-centimeter length standard for Type E dax rods, an overall length of 90 centimeters counts as",93b4e6e8a4480f94,68,-0.6359887667199967,36,b,-0.5487969268541294,final_prompt_token,170.0,90 centimeters,67,90.0,fictional_semantic_adjective_counts
Type C dax rods,0.7127900327627479,huge,3.0,1.9341266694358161,size-v2-fictional_semantic-p0500-Type_C_dax_rods-vs-Type_F_dax_rods,large,2.0,2.385966701933097,0.08675860095784424,0.7619994523233992,0.14985196191548514,0.0013899848032714217,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type C dax rods is 46 centimeters. Compared only to that 46-centimeter length standard for Type C dax rods, an overall length of 500 centimeters counts as",93e29c785e1fa600,67,2.385966701933097,37,a,0.6975161065624869,final_prompt_token,46.0,500 centimeters,66,500.0,fictional_semantic_adjective_counts
Type B dax rods,0.6433550174601278,huge,3.0,1.8063908215155586,size-v2-fictional_semantic-p0025-Type_C_dax_rods-vs-Type_B_dax_rods,large,2.0,1.0216512475319812,0.024828825559287487,0.7585873596441405,0.21472962554941546,0.0018541892471567573,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 25 centimeters counts as",98f856f8247f060e,64,1.0216512475319812,38,b,0.5668323704068557,final_prompt_token,9.0,25 centimeters,63,25.0,fictional_semantic_adjective_counts
Type A dax rods,0.8300621447307615,huge,3.0,1.6909655737153495,size-v2-fictional_semantic-p0320-Type_A_dax_rods-vs-Type_E_dax_rods,large,2.0,5.768320995793772,0.041383984271463815,0.6146430706392253,0.3375274796225073,0.0064454654668035585,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 320 centimeters counts as",99d507d536a89be1,65,5.768320995793772,39,a,0.31205410982137827,final_prompt_token,1.0,320 centimeters,64,320.0,fictional_semantic_adjective_counts
Type A dax rods,0.7467289175190285,huge,3.0,1.7766699808164046,size-v2-fictional_semantic-p0040-Type_A_dax_rods-vs-Type_D_dax_rods,large,2.0,3.6888794541139363,0.03887697340767384,0.7037210299830401,0.25259700062730334,0.004804995981982802,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type A dax rods is 1 centimeter. Compared only to that 1-centimeter length standard for Type A dax rods, an overall length of 40 centimeters counts as",9a54bb3d09f201a6,64,3.6888794541139363,40,a,0.48519600678142777,final_prompt_token,1.0,40 centimeters,63,40.0,fictional_semantic_adjective_counts
Type D dax rods,0.706088222365238,huge,3.0,1.987025423288848,size-v2-fictional_semantic-p0320-Type_E_dax_rods-vs-Type_D_dax_rods,large,2.0,1.6739764335716716,0.10968794691510735,0.7684333941927071,0.12109479415811135,0.0007838647340740188,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 320 centimeters counts as",9eb51f0c881e2959,67,1.6739764335716716,41,b,0.756242682215629,final_prompt_token,60.0,320 centimeters,66,320.0,fictional_semantic_adjective_counts
Type F dax rods,0.6836638997509946,tiny,0.0,1.2924280840343514,size-v2-fictional_semantic-p0130-Type_A_dax_rods-vs-Type_F_dax_rods,small,1.0,-0.9903987040278769,0.005198770285972184,0.29135439914673283,0.6941229748829693,0.009323855684325788,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type F dax rods is 350 centimeters. Compared only to that 350-centimeter length standard for Type F dax rods, an overall length of 130 centimeters counts as",b70140afc3f5a1e5,69,-0.9903987040278769,42,b,-0.40689366113459,final_prompt_token,350.0,130 centimeters,68,130.0,fictional_semantic_adjective_counts
Type B dax rods,0.8534215317863343,huge,3.0,1.623105106652913,size-v2-fictional_semantic-p0200-Type_E_dax_rods-vs-Type_B_dax_rods,large,2.0,3.101092789211817,0.04149183026574848,0.5447399267889926,0.4091497622776826,0.004618480667576339,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 200 centimeters counts as",b88a722b13d397fa,65,3.101092789211817,43,b,0.17246351410948207,final_prompt_token,9.0,200 centimeters,64,200.0,fictional_semantic_adjective_counts
Type B dax rods,0.5271225583000069,large,2.0,1.8559920054529837,size-v2-fictional_semantic-p0015-Type_B_dax_rods-vs-Type_A_dax_rods,large,2.0,0.5108256237659907,0.016601288734200137,0.8239222583843804,0.1583436224816225,0.0011328303997969402,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type B dax rods is 9 centimeters. Compared only to that 9-centimeter length standard for Type B dax rods, an overall length of 15 centimeters counts as",ba26b44c71be5531,64,0.5108256237659907,44,a,0.6810470942371611,final_prompt_token,9.0,15 centimeters,63,15.0,fictional_semantic_adjective_counts
Type D dax rods,0.3186876958259059,small,1.0,1.0755815513788043,size-v2-fictional_semantic-p0040-Type_A_dax_rods-vs-Type_D_dax_rods,small,1.0,-0.40546510810816444,0.0024544815715321186,0.07600323771599096,0.9162116312322262,0.005330649480250862,"In this measurement task, a dax is a manufactured rod-like object. Only overall length matters. The normal overall length for Type D dax rods is 60 centimeters. Compared only to that 60-centimeter length standard for Type D dax rods, an overall length of 40 centimeters counts as",c26d9e6c4095796c,66,-0.40546510810816444,45,b,-0.8430845614249539,final_prompt_token,60.0,40 centimeters,65,40.0,fictional_semantic_adjective_counts
